otu;genus;family;order;class;phylum
SV1;G_Helicobacter;F_Helicobacteraceae;O_Campylobacterales;C_Epsilonproteobacteria;P_Proteobacteria
SV10;G_Lactobacillus;F_Lactobacillaceae;O_Lactobacillales;C_Bacilli;P_Firmicutes
SV102;unclassified_F_Lachnospiraceae;F_Lachnospiraceae;O_Clostridiales;C_Clostridia;P_Deferribacteres
SV109;G_Mucispirillum;F_Deferribacteraceae;O_Deferribacterales;C_Deferribacteres;P_Bacteroidetes
SV111;G_Paraprevotella;F_Prevotellaceae;O_Bacteroidales;C_Bacteroidia;
SV113;G_Staphylococcus;F_Staphylococcaceae;O_Bacillales;;
SV119;G_Eisenbergiella;F_Bacteroidaceae;;;
SV12;G_Bacteroides;F_Rikenellaceae;;;
SV124;G_Alistipes;F_Ruminococcaceae;;;
SV13;G_Clostridium_XlVa;F_Porphyromonadaceae;;;
SV14;G_Oscillibacter;;;;
SV142;unclassified_C_Deltaproteobacteria;;;;
SV145;G_Hungatella;;;;
SV156;unclassified_O_Bacteroidales;;;;
SV17;G_Odoribacter;;;;
SV19;G_Anaerostipes;;;;
SV2;unclassified_F_Ruminococcaceae;;;;
SV20;unclassified_F_Porphyromonadaceae;;;;
SV21;G_Butyricicoccus;;;;
SV22;unclassified_O_Clostridiales;;;;
SV23;G_Roseburia;;;;
SV243;G_Dorea;;;;
SV29;unclassified_P_Bacteroidetes;;;;
SV3;G_Acetatifactor;;;;
SV31;G_Intestinimonas;;;;
SV32;G_Marvinbryantia;;;;
SV33;G_Fusicatenibacter;;;;
SV35;unclassified_F_Prevotellaceae;;;;
SV38;;;;;
SV39;;;;;
SV4;;;;;
SV45;;;;;
SV47;;;;;
SV5;;;;;
SV50;;;;;
SV58;;;;;
SV6;;;;;
SV60;;;;;
SV64;;;;;
SV68;;;;;
SV7;;;;;
SV70;;;;;
SV79;;;;;
SV9;;;;;
SV95;;;;;
SV98;;;;;